Mental Health,Goal 3,Helps to find and gather information,14,0,6,68,Quels sont les bienfaits d'une certaine pratique sur la santé mentale ? ,Quelle maladie correspond à mes symptomes ? ,Quelles risques liés aux complications de ma maladie encroure-je  ?,https://docs.google.com/document/d/1TNdn1nE15lJhTq9F8bn6wKIN2kLrqH8cucOF1SwtK9I/edit?usp=sharing,Information retrieval,,,19,,,,,,
AI modeling process,Goal 4,Advanced Education,"3 main classes, 14 in total",9,7,50,Method recommendations for ML application,Supervised / Unsupervised method classification ,Effective methods classification,https://en.wikipedia.org/wiki/Machine_learning,Classification+recommendation,xx,n,17,,,,,,
Car selection based on CO2 footprint and price,Goal 13,Sustainable car for climate action,34,3,8,16,Classification based on carbon footprint ,Classification based on price,,,Classification,,,19,,,,,,
COVID-19 inspection ,Goal 3,"Gathering information about COVID-19 : exposure, symptoms and weakening diseases","8 main classes, 42 in total",0,32,32,none,,,,Information retrieval,,n,14,"Covid: not compiling rdf error and no definition of contact case, not illustrating case. Much worse than other covid ocase of CALDAS",,,,,
"Fish classification : endangered species based on some indicators (Predators, Location, Human threat, etc)",Goal 14 ,"Conservation of the biodiversity : with some characteristics of a fish we can identify the species it belongs to, and then deduce its potential vulnerability, if we can practice fishing or not...","4 main classes : colors, endangerement, fish, location. Total : 60 classes",2,6,7,"Classification. With a description of a fish : color, shape, type of water it lives in, length ----> infer the family of this fish ",With information on the vulnerability of a family of fishes ---> infer if it's fishable or not,,"https://fr.wikipedia.org/wiki/Liste_des_poissons_d%27eau_douce_en_France_m%C3%A9tropolitaine
https://www.iucnredlist.org/search?query=Fishes&searchType=species
","Classification, information retrieval",,,19,,,,,,
Streaming Platform categories,,Movie System Recommandation and Classification,92 classes and 176 subclasses,2,35,6,,,,"https://fr.wikipedia.org/wiki/Titanic_(film,_1997) https://fr.wikipedia.org/wiki/Inglourious_Basterds https://www.allocine.fr/film/fichefilm_gen_cfilm=5818.html https://www.allocine.fr/film/fichefilm_gen_cfilm=60208.html","Classification, ranking by value",,,7,"non sense ontology, no inference, concepts unclear properties cannot be inferred, no SDG",,,,,
Sustainable Cities and Human Settlements,Goal 11,"Promoting shelter for all, human settlements planning and management in disaster-prone areas and promoting sustainable construction of industries","3 main classes, Total: 43",0,7,19,Classification,,,"https://sustainabledevelopment.un.org/content/documents/17765document.pdf
https://www.sheltercluster.org/sites/default/files/docs/human_settlements_development_and_disaster_risks_in_pacific_island_countries.pdf",Recommendation,,n,14,no inference,,,,,Explanation not used?
Football players,Goal 3,Good Health and Wellbeing,67 classes,12,11,80,,,,,,,n,10,"no example of inference, no SDG",,,,,
Destination choice in Europe for a group of friends,Goal 12,Develop and implement tools to monitor sustainable tourism,"2 main classes : DomainThing, ValuePartition. Total : 7 classes.",2,8,33,"Recommandation of european cities to travel to from Paris, based of several criterias, including distance",,,"https://www.google.ru/maps
https://en.wikipedia.org/wiki/Poland
https://en.wikipedia.org/wiki/Russia
https://en.wikipedia.org/wiki/United_Kingdom
https://en.wikipedia.org/wiki/Italy
https://en.wikipedia.org/wiki/Greece
https://en.wikipedia.org/wiki/Sweden
https://en.wikipedia.org/wiki/Spain
https://en.wikipedia.org/wiki/Germany
https://fr.wikipedia.org/wiki/France",Recommandation,,y but missing long example screenshot,19,Nice examples on queries using inverse property,,,,,
Sustainable cities ,Goal 11,Sustainable cities,Total of 137 classes,0,20,0,Classification : classify cities into city profiles,,,"https://www.arcadis.com/en/global/news/latest-news/european-and-asian-cities-lead-in-arcadis-sustainable-cities-index/1839296/
www.worldbank.org
ourworldindata.org
www.expatistan.com
www.numbeo.com
www.tomtom.com
www.mobileconnectivityindex.com
www.innovation-cities.com
www.wikipedia.org",Classification,,y,19,,,,,,
"Modes of transportation - impact on the environment based on { noise pollution, consumption, availability, infrastructure needs, capacity, speed/efficiency } ",Goal n°12,Sustainable transport and air pollution,Total of 91 classes,0,15,0,,,,en.wikipedia.org/wiki/Environmental_impact_of_transport,Comparison,,y,17,Just one simple test,,,,,
"Matching system for disease, symptoms and cure",Goal N°3,"Health care: Matching system for disease, symptoms and cure","3 main classes, for a total of 123 classes",0,5,0,0,,,https://en.wikipedia.org/wiki/List_of_medical_symptoms?fbclid=IwAR07hmQpd1A7B2RqZjuhQjEARBlj_TYdotLqOk3jjdksPp5OqBrWKVdfZF4,matchmaking,,y,17,,,,,,
Increase energie efficiency and the share of renewable energy in the global energy mix ,Goal n°7,"By 2030, increase substantially the share of renewable energy in the global energy mix","5 main classes, total of 43 classes",0,11,0,,,,"https://fr.wikipedia.org/wiki/%C3%89lectricit%C3%A9_en_Allemagne
https://fr.wikipedia.org/wiki/%C3%89lectricit%C3%A9_aux_%C3%89tats-Unis 
https://fr.wikipedia.org/wiki/%C3%89lectricit%C3%A9_en_France ",,x,n,11,,,,,,
"Sustainable vegetable garden:  list of fruits and vegetables,  fertilizers and mineral nutrients , insects, companion planting (growing side by side), Biodynamic planting, organic farming,  ",Goal n°2,Improved nutrition  and promote  sustainable agriculture .,Subclassof (object Thing) : 179 ,6,14,24,consistency checks,,,"https://www.bunnings.com.au/diy-advice/sustainability/garden-ideas-tips-projects/going-green-with-a-sustainable-kitchen-garde
 https://www.burpee.com/gardenadvicecenter/vegetables/general-gardening/sustainable-vegetable-gardening/article10768.html
https://sympathink.com/vegetables/easy-vegetable-types/
https://crisisequipped.com/crops-to-grow-in-your-survival-garden/
https://www.masterclass.com/articles/how-to-choose-fruit-plants-for-your-home-garden
https://www.brandonu.ca/hortline/plant-care/ 
https://www.farmersalmanac.com/companion-planting-guide-31301
https://garden.lovetoknow.com/wiki/Which_Vegetables_Grow_Well_Together
https://www.finegardening.com/article/raising-animals-as-gardening-allies
https://extension.colostate.edu/topic-areas/yard-garden/vegetable-gardening-nitrogen-recommendations-7-247/
https://www.globalnetacademy.edu.au/grow-better-root-vegetables-by-adding-phosphorus-to-your-soil/
https://www.lifeisjustducky.com/hot-weather-vegetables/
https://plantcaretoday.com/27-plants-dont-like-mix.html 

","recommendation ,consistency checks",,too minor,15,"no real inferences, inheriting range and domain is not really a didactic automatic reasoning inference to showcase",,,,,
